table,status,missing_runtime,missing_quality,resolved_date,resolved_territory_label,resolved_district,resolved_settlement,resolved_settlement_type,resolved_report_time,resolved_detection_time,resolved_arrival_time,resolved_fire_station_distance,resolved_water_supply_count,resolved_water_supply_details,resolved_consequence,resolved_casualty_flag,resolved_injuries,resolved_deaths,resolved_registered_damage,resolved_destroyed_buildings,resolved_destroyed_area
clean_STAT1997_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.","F62 | P41_2 | Время обнаружения, мин.",F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
clean_STAT1998_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.","F62 | P41_2 | Время обнаружения, мин.",F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
clean_STAT1999_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.","F62 | P41_2 | Время обнаружения, мин.",F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
clean_STAT2000_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.","F62 | P41_2 | Время обнаружения, мин.",F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
clean_STAT2001_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.","F62 | P41_2 | Время обнаружения, мин.",F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
clean_STAT2002_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.","F62 | P41_2 | Время обнаружения, мин.",F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
clean_STAT2003_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.","F62 | P41_2 | Время обнаружения, мин.",F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
clean_STAT2004_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.","F62 | P41_2 | Время обнаружения, мин.",F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
clean_STAT2005_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.","F62 | P41_2 | Время обнаружения, мин.",F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
clean_STAT2006_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.","F62 | P41_2 | Время обнаружения, мин.",F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
